Antwort ID;Letzte Seite;Start-Sprache;Zufallsstartwert;Wie alt sind Sie? (Angabe in Jahren);Welchem Geschlecht fühlen Sie sich zugehörig?;Wie lange haben Sie sich in der Installation aufgehalten?;Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?;Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ];Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ];Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ];Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.];Haben Sie bemerkt, dass die Blumenprojektion sich durch den/die Sound/Geräusche beeinflussen lässt?;Haben Sie bemerkt, dass ihre Bewegung die Projektion auf der linken Seite beeinflusst?;Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.];Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ];Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.];Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.];Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.];Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.];Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.];Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?];Was hat Ihnen an der Installation am meisten gefallen?;Was hätte verbessert werden können?;Würden Sie diese Installation weiterempfehlen?;Gesamtzeit;Gruppenzeit: Biografische Fragen;Fragenzeit: G02Q02;Fragenzeit: G02Q03;Fragenzeit: G02Q04;Fragenzeit: G02Q05;Fragenzeit: G02Q06;Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation;Fragenzeit: G03Q07;Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation;Fragenzeit: G04Q08;Fragenzeit: G04Q09;Fragenzeit: G04Q10;Fragenzeit: G04Q011;Gruppenzeit: Interaktion wurde wahrgenommen;Fragenzeit: G05Q12;Gruppenzeit: Zufriedenheit;Fragenzeit: G06Q13;Fragenzeit: G06Q14;Fragenzeit: G06Q15;Fragenzeit: G06Q16
11;5;de;2017515488;61;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;2;1;1;1;Nein;Nein;1;1;1;1;1;;;;1;Nix;Intensität raumgrösse ;Nein;199.44;45.67;;;;;;39.34;;54.77;;;;;;;59.66;;;;
12;5;de;746839717;11;weiblich;2-5 Minuten;Nein;4;5;3;3;3;Ich bin mir unsicher;Nein;4;3;5;5;5;;;;5;Die Interaktivität;Die Geschwindigkeit der Bewegungen sollte noch etwas flüssiger werden;Ja;290.89;54.19;;;;;;63.97;;75.39;;;;;;;97.34;;;;
13;5;de;937570444;50;weiblich;2-5 Minuten;Nein;5;3;3;4;4;Ja;Nein;3;4;4;4;4;2;3;3;5;Die Töne und Farben;Schöne ERFAHRUNG;Ja;414.42;278.71;;;;;;15.84;;40.31;;;;;Okt 73;;68.83;;;;
14;5;de;2073683696;31;weiblich;2-5 Minuten;Ja, mehrfach;5;4;3;3;4;Nein;Ja;4;5;5;4;5;4;5;5;5;Sehr schön gemacht ;Die Sound Interaktion habe ich leider neu spät gesehen ;Ja;210.08;45.46;;;;;;32.54;;57.89;;;;;19.74;;54.45;;;;
15;5;de;844617155;35;männlich;2-5 Minuten;Ja, mehrfach;1;3;3;3;3;Ja;Ja;3;2;3;3;3;2;2;3;5;;;Ja;176.75;31.17;;;;;;33.22;;60.53;;;;;24.26;;27.57;;;;
16;5;de;1462873900;61;weiblich;weniger als 2 Minuten;Nein;4;1;1;1;1;Ja;Nein;1;1;3;3;5;3;1;1;3;;;Nein;158.13;38.25;;;;;;21.16;;60.76;;;;;16.34;;21.62;;;;
17;5;de;1771369407;50;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;2;1;1;1;Nein;Nein;1;1;1;1;3;;;;3;Geräusche;Erklären, was man machen kann;Ich bin mir unsicher;155.43;27.51;;;;;;26.39;;59.36;;;;;;;42.17;;;;
18;5;de;856829837;41;männlich;2-5 Minuten;Nein;5;4;4;3;5;Ich bin mir unsicher;Ja;4;4;5;5;4;4;5;5;5;;;Ja;129.79;28. Jan;;;;;;30.46;;41.97;;;;;13.63;;15.72;;;;
19;5;de;1122967538;61;männlich;2-5 Minuten;Nein;5;5;5;3;3;Ja;Ja;5;3;5;5;5;5;5;5;5;;;Ja;201.45;32.53;;;;;;47.07;;61.65;;;;;21.56;;38.64;;;;
20;5;de;1268391693;59;weiblich;2-5 Minuten;Nein;2;5;5;3;5;Ich bin mir unsicher;Nein;5;5;5;5;5;;;;5;Durch Bewegung veränderung;;Ja;233.85;31.04;;;;;;31.59;;75.37;;;;;;;95.85;;;;
21;5;de;1399317954;69;männlich;Länger als 10 Minuten;Nein;5;5;5;5;5;Ja;Ja;5;4;4;4;5;5;3;5;5;der Bezug zur Ausstellung Ruysch;Erklärung beim Betreten des Raumes;Ja;337.46;85.5;;;;;;36.25;;64.58;;;;;36.18;;114.95;;;;
22;5;de;1796499518;67;weiblich;2-5 Minuten;Nein;4;2;2;1;2;Nein;Ja;2;1;3;1;1;1;1;1;3;Farben;Erklärung;Ja;279.34;57.92;;;;;;44.68;;92.27;;;;;39.92;;44.55;;;;
23;5;de;538624418;41;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;3;4;3;4;Ja;Nein;4;3;4;3;3;4;4;4;4;Die bunten Farben;Eine kurze Erklärung vorab, aufgelistet, kein Fließtext ;Ja;180.08;24. Feb;;;;;;20.75;;45.15;;;;;Okt 21;;79.95;;;;
24;5;de;1068906745;61;weiblich;2-5 Minuten;Nein;3;5;4;2;4;Ich bin mir unsicher;Ja;3;3;4;3;4;5;3;1;3;;;Ich bin mir unsicher;232.61;78.57;;;;;;38.94;;52.12;;;;;29.83;;33.15;;;;
25;5;de;1796005941;67;weiblich;2-5 Minuten;Ja, mehrfach;4;3;5;2;2;Nein;Ja;4;5;5;4;5;4;5;5;4;Kurze Reaktionszeiten ß;Fluss der Überblendung - mehr Platz - Länge;Ja;445.75;49.81;;;;;;78.84;;106.13;;;;;31.53;;179.44;;;;
26;5;de;1510534154;26;weiblich;2-5 Minuten;Ja, mehrfach;4;2;4;3;1;Ich bin mir unsicher;Ja;4;3;4;3;2;3;4;4;4;;;Ja;229.84;64.51;;;;;;52.91;;66.97;;;;;22.55;;22. Sep;;;;
27;5;de;1397816374;12;weiblich;2-5 Minuten;Nein;3;5;4;3;3;Ja;Nein;4;5;4;5;5;5;3;3;5;Die Farben und die passenden Geräusche dazu;Es war sehr toll habe aber nicht verstanden gehabt das es uns darstellen soll;Ja;194.32;43.39;;;;;;28;;40.77;;;;;20.24;;61.92;;;;
28;5;de;1292096566;58;weiblich;2-5 Minuten;Ja, mehrfach;1;3;2;4;3;Nein;Nein;4;4;1;1;1;;;;1;;;Ja;184.25;52.17;;;;;;48.76;;58.9;;;;;;;24.42;;;;
29;5;de;1467004704;31;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;3;4;2;3;Nein;Ja;5;5;3;4;5;5;5;5;5;;;Ja;293.08;53.96;;;;;;37.04;;74.08;;;;;83.3;;44.7;;;;
30;5;de;1029296563;77;männlich;2-5 Minuten;Nein;4;4;4;4;4;Ja;Ja;3;5;3;2;4;5;4;4;4;Blüten ;Nichts;Ja;235.52;39.87;;;;;;39.58;;57.52;;;;;28.21;;70.34;;;;
31;5;de;673872627;9;männlich;2-5 Minuten;Ja, mehrfach;5;5;4;1;3;Ja;Ja;3;3;1;2;2;2;1;2;5;Farben;Info zu Interaktion ;Ja;169.4;42.22;;;;;;29.64;;60.76;;;;;13.47;;23.31;;;;
32;5;de;693058210;30;männlich;2-5 Minuten;Ja, mehrfach;5;3;5;2;2;Ja;Ja;5;4;5;3;4;4;4;4;5;Die Interaktion und lebendigkeit;Ausschilderumg und erklärung;Ja;142.4;18.84;;;;;;22. Mai;;48.8;;;;;17. Mär;;35.41;;;;
33;5;de;1797820193;66;weiblich;2-5 Minuten;Ja, mehrfach;3;3;2;4;2;Ja;Ja;4;4;5;5;5;3;4;5;4;Sound;Mehr Platz;Ja;209.74;31.15;;;;;;35.78;;74.43;;;;;39.39;;28.99;;;;
34;5;de;845863264;57;weiblich;2-5 Minuten;Nein;4;3;2;3;3;Ich bin mir unsicher;Ja;3;4;3;3;4;4;4;4;4;interaktiv, neu, Nutzung KI demonstriert;zu viele Personen im Raum, Audiowirkung ist nicht optimal;Ja;561.6;101.99;;;;;;59.26;;290.72;;;;;21.35;;88.28;;;;
35;5;de;131980539;25;weiblich;2-5 Minuten;Nein;5;4;5;2;2;Ja;Ich bin mir unsicher;5;5;5;5;4;5;4;4;5;Kombination von ton, visuellem, und interaktivem bewegen ;Passt;Ja;415.65;48.77;;;;;;48.04;;70.46;;;;;23.47;;224.91;;;;
36;5;de;1920239931;46;weiblich;5-10 Minuten;Nein;3;2;4;2;4;Ja;Nein;1;4;2;3;2;1;1;1;4;;Ich habe die Installation eher ästhetisch genossen und die Interaktivität tatsächlich nicht bemerkt.;Ja;292.33;45.52;;;;;;52.05;;47.48;;;;;62.24;;85.04;;;;
37;5;de;1168971562;;N/A;weniger als 2 Minuten;Ja, einmal;2;1;1;3;1;Nein;Nein;1;1;2;1;1;;;;1;;;Nein;294.97;73.37;;;;;;48.78;;95.3;;;;;;;77.52;;;;
38;5;de;1100747285;49;weiblich;weniger als 2 Minuten;Nein;2;4;4;2;3;Nein;Ja;5;4;4;4;5;4;4;5;4;Durch Bewegung veränderung;Soundinstallation;Ja;197.13;29.18;;;;;;53.56;;51.64;;;;;24. Aug;;38.67;;;;
39;5;de;2063261245;64;männlich;2-5 Minuten;Ja, mehrfach;3;4;5;3;5;Nein;Nein;5;5;3;5;5;;;;5;;;Ja;274.21;57.15;;;;;;74.74;;101.24;;;;;;;41.08;;;;
40;5;de;1957082790;58;weiblich;2-5 Minuten;Ja, mehrfach;3;4;2;2;4;Nein;Nein;2;4;1;1;1;;;;1;Ein Zauberraum. Ich habe nicht gemerkt Teil der Installation zu sein. Gleich nochmals reingeschaut. ;Wiss nicht. Kann ich nicht beurteilen ;Ja;387.22;37.7;;;;;;108.87;;79.01;;;;;;;161.64;;;;
42;5;de;1522569457;35;weiblich;2-5 Minuten;Ja, mehrfach;2;4;3;5;2;Nein;Ja;5;4;5;3;2;2;4;3;4;Farben, Animation;Anweisungen, schnelle Reaktionszeit;Ja;265.05;42.98;;;;;;51.41;;83.72;;;;;30.81;;56.13;;;;
43;5;de;295293222;33;männlich;2-5 Minuten;Ja, mehrfach;5;4;5;5;5;Ja;Ja;4;3;4;5;5;4;5;4;4;Überraschend wie diese interaktive funktioniert;Bildflakern im übergagnsbereich links zu rechts;Ja;306.66;31.85;;;;;;67.07;;65.19;;;;;18.21;;124.34;;;;
44;5;de;1231797236;57;männlich;2-5 Minuten;Ja, mehrfach;3;3;2;2;2;Ja;Nein;3;2;2;3;1;3;2;2;3;die Umsetzung ;Verständnis der Bedienung ;Ja;222.94;21.76;;;;;;24. Dez;;59.15;;;;;20.13;;97.78;;;;
45;5;de;956850770;58;männlich;2-5 Minuten;Ja, mehrfach;4;3;2;1;2;Nein;Nein;2;3;1;2;4;;;;3;Raum-Bild-Klang; Interaktive Steuerung ;Ja;379.6;131.25;;;;;;39.88;;69.13;;;;;;;139.34;;;;
46;5;de;851383179;70;weiblich;2-5 Minuten;Nein;3;5;2;2;4;Ja;Ja;3;5;2;5;1;5;5;1;5;Futuristischer prompt;Nichts;Ja;225;32.16;;;;;;40.95;;88.08;;;;;40.55;;23.26;;;;
47;5;de;516430419;50;männlich;2-5 Minuten;Nein;3;3;4;2;3;Ja;Ich bin mir unsicher;4;4;5;3;4;3;5;5;3;Unmittelbarkeit, Aufgreifen der Ausstellungsmotive;Erfassungsspektrum der Sensoren, es war manchmal unklar, an welchen Stellen einen die Sensoren erfassen und eine Interaktion erlauben ;Ja;296.69;32.17;;;;;;41.52;;40.29;;;;;15.38;;167.33;;;;
48;5;de;1428245864;42;weiblich;weniger als 2 Minuten;Nein;4;3;5;4;4;Ja;Ja;4;5;5;5;4;5;5;5;5;;;Ja;164.37;34.14;;;;;;38.52;;49.85;;;;;14.82;;27. Apr;;;;
49;5;de;761153573;50;weiblich;2-5 Minuten;Ja, mehrfach;4;2;2;1;1;Ja;Nein;4;4;5;3;2;3;1;3;3;;Alle Flächen des Raums einbeziehen;Ja;216.12;45.21;;;;;;46.58;;50.16;;;;;15.35;;58.82;;;;
50;5;de;1573220005;47;männlich;2-5 Minuten;Ja, mehrfach;5;4;5;2;2;Ja;Nein;5;4;5;3;1;3;3;4;4;mit Bewegung das Bild zu verändern;eine genauere Beschreibung von den Möglichkeiten ;Ja;288.51;52.78;;;;;;43.22;;69.21;;;;;23.76;;99.54;;;;
51;5;de;1068236456;44;weiblich;2-5 Minuten;Ja, einmal;5;2;1;1;1;Ja;Nein;3;3;1;2;4;3;3;3;2;Die sound Kulisse;Bessere Einführung in die Installation ;Ich bin mir unsicher;399.88;122.43;;;;;;59.79;;95.75;;;;;30.23;;91.68;;;;
52;5;de;604794580;25;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;2;1;4;3;Nein;Nein;3;4;3;4;5;;;;4;Der Screenshots rechts mit dunklem Hintergrund;Interaktivität Wawar mir nicht ht bewusst;Ich bin mir unsicher;268.28;41.63;;;;;;61.8;;92.76;;;;;;;72.09;;;;
53;5;de;54265551;62;männlich;2-5 Minuten;Nein;3;3;3;5;4;Ja;Ja;2;4;3;2;5;3;1;4;3;;Mehr vorab Information was da passiert;Ich bin mir unsicher;186.31;23. Feb;;;;;;44.28;;39.36;;;;;16.52;;63.13;;;;
54;5;de;1817017872;35;weiblich;weniger als 2 Minuten;Ja, mehrfach;4;5;1;1;5;Nein;Nein;1;5;1;5;2;;;;5;Bewegung, Ansprechen mehrerer Sinne, Kombination Bild und Akustik, Veränderung ;Mehr Information zur Installation;Ja;257.82;37.44;;;;;;51.3;;85.84;;;;;;;83.24;;;;
55;5;de;141620479;70;weiblich;weniger als 2 Minuten;Ja, mehrfach;2;2;2;3;5;Nein;Nein;1;4;4;5;5;;;;4;KI-SILHOUETTE;Nichts;Ja;270.57;51.08;;;;;;47.37;;79.5;;;;;;;92.62;;;;
56;5;de;1644145572;56;weiblich;2-5 Minuten;Ja, mehrfach;3;4;4;4;4;Ja;Nein;1;4;2;2;4;1;1;1;4;Sound;nix;Ja;539.27;112.43;;;;;;59.04;;201.78;;;;;90.7;;75.32;;;;
57;5;de;1475104181;47;männlich;2-5 Minuten;Ja, mehrfach;5;5;5;5;5;Ja;Ja;5;5;5;5;5;5;3;4;5; ; ;Ja;72.22;27.49;;;;;;Sep 49;;Okt 68;;;;;Nov 76;;12. Aug;;;;
58;5;de;399735900;50;männlich;2-5 Minuten;Ja, einmal;5;5;4;4;4;Ja;Ja;5;4;5;5;5;4;3;5;5;;;Ja;218.04;26.99;;;;;;39.85;;108.51;;;;;21. Mai;;21.64;;;;
59;5;de;1463068530;16;weiblich;Länger als 10 Minuten;Ja, mehrfach;5;5;5;3;4;Ja;Ja;4;5;4;5;5;5;5;5;5;Wie fließend die Bilder wechseln, die Farben wurden gut dargestellt ;Auf alle Wende zu zeigen, aber ansonsten ist alles prima ;Ja;510.47;65.54;;;;;;44.97;;71.13;;;;;17.13;;311.7;;;;
60;5;de;907218975;54;weiblich;2-5 Minuten;Ja, einmal;3;3;3;3;3;Ich bin mir unsicher;Ja;4;3;4;3;3;3;3;3;4;;;Ja;203.54;43.92;;;;;;49.43;;64.58;;;;;16.59;;29.02;;;;
61;5;de;25272249;25;weiblich;2-5 Minuten;Ja, mehrfach;4;4;3;2;2;Nein;Ja;4;2;2;4;5;3;2;3;4;Das die BluMen und Pflanzenmotive dargestellt wurden;Verdeutlichen was die Idee ist;Ja;210.74;28.62;;;;;;24.86;;67.07;;;;;32.67;;57.52;;;;
62;5;de;259094707;57;weiblich;weniger als 2 Minuten;Nein;4;2;2;2;5;Nein;Nein;1;1;1;1;1;;;;3;.;.;Ich bin mir unsicher;171.8;36.63;;;;;;44.24;;51.03;;;;;;;39.9;;;;
63;5;de;159105885;40;weiblich;2-5 Minuten;Nein;4;4;4;3;4;Nein;Ja;4;4;4;4;4;2;3;3;5;Dass man mit der Installation interagieren kann.;Etwas mehr Platz und gestaffelten Einlass;Ja;228.97;40.29;;;;;;33.24;;62.08;;;;;21.26;;72.1;;;;
65;5;de;1260910246;28;männlich;5-10 Minuten;Ja, mehrfach;4;4;4;3;4;Ja;Ja;5;5;5;4;4;5;5;4;5; ; ;Ja;81.96;15.59;;;;;;Dez 72;;38.67;;;;;06. Jul;;Aug 28;;;;
66;5;de;689445218;60;männlich;weniger als 2 Minuten;Nein;4;2;2;2;2;Ja;Ja;2;2;2;2;4;3;3;3;3;;Wusste gar nicht dass das interaktiv funktioniert ;Ich bin mir unsicher;157.95;23.77;;;;;;26.63;;38.96;;;;;17;;51.59;;;;
67;5;de;238217681;73;weiblich;weniger als 2 Minuten;Ja, einmal;3;3;3;1;4;Nein;Ja;2;3;3;5;5;3;5;5;4;Audioreaktive; ;Ja;205.15;37.45;;;;;;41.51;;59.81;;;;;24. Mär;;42.35;;;;
68;5;de;1271418040;26;weiblich;weniger als 2 Minuten;Ja, mehrfach;5;4;2;2;3;Nein;Nein;3;2;1;4;4;;;;3;Man kann reingehn, das ist abwechslungsreich;Wusste nicht, dass es interaktiv ist;Ich bin mir unsicher;150.75;44.38;;;;;;26.17;;34.46;;;;;;;45.74;;;;
69;5;de;583818787;58;männlich;2-5 Minuten;Ja, mehrfach;4;5;3;2;4;Ja;Ja;2;4;4;4;1;5;3;4;4;Realität;Änderungen waren zu schnell;Ja;368.41;74.74;;;;;;56.68;;117.34;;;;;58.43;;61.22;;;;
70;5;de;1066325994;55;weiblich;2-5 Minuten;Ja, mehrfach;5;5;4;3;4;Ja;Nein;1;4;2;4;5;5;2;5;4;Kombination sensorik (Technologie) und alte Kunst;Hinweis dass man auf bestimmte Komponenten achtet;Ja;503.62;40.02;;;;;;35.08;;76.31;;;;;205.94;;146.27;;;;
71;5;de;2138829095;56;weiblich;2-5 Minuten;Ja, mehrfach;3;3;2;2;4;Nein;Nein;4;4;4;4;4;;;;5;Farbenvielfalt, Bewegung;Eingangsfrage vor Beginn der Installation;Ja;259.56;24.39;;;;;;45.03;;82.39;;;;;;;107.75;;;;
72;5;de;1417430422;34;weiblich;weniger als 2 Minuten;Ja, einmal;5;2;1;1;3;Nein;Nein;2;1;1;1;3;;;;4;;Vorinformation, dass man interagieren kann.;Ich bin mir unsicher;244.65;50.17;;;;;;49.72;;52.69;;;;;;;92.07;;;;
73;5;de;1124733643;58;männlich;2-5 Minuten;Ja, mehrfach;3;4;4;3;4;Ja;Ja;4;4;4;4;4;3;4;5;4;;;Ja;130.44;41.07;;;;;;23. Jul;;36.8;;;;;15. Feb;;14. Mär;;;;
74;5;de;1376763873;17;weiblich;2-5 Minuten;Ja, mehrfach;5;5;4;5;4;Ja;Nein;4;5;5;3;3;5;5;5;5;Mir hat sehr gefallen an der Installation das es sich wirklich so angefühlt hat als wäre man im Geschehen drin, als würde man mit hinein gezogen werden;Alles war Supi, Viel Glück euch mit eurem Master:);Ja;342.12;56.85;;;;;;55.34;;58.35;;;;;19.51;;152.07;;;;
75;5;de;1543395721;51;weiblich;2-5 Minuten;Nein;4;5;4;5;5;Ich bin mir unsicher;Nein;4;5;3;5;3;;;;5;Farbwechsel;;Ja;262.98;64.04;;;;;;48.28;;93.71;;;;;;;56.95;;;;
76;5;de;1355948996;54;weiblich;weniger als 2 Minuten;Ja, einmal;4;5;1;1;1;Nein;Nein;3;4;1;1;1;;;;4;Entstehung des bildes; ;Ja;173.37;36.67;;;;;;32.15;;66.72;;;;;;;37.83;;;;
77;5;de;266186118;36;weiblich;2-5 Minuten;Ja, mehrfach;5;4;4;4;4;Ja;Ja;5;5;5;5;5;5;5;5;5;Detailgenauigkeit ;Kurze Erläuterungen ;Ja;127.29;30.88;;;;;;17;;35.93;;;;;11. Jun;;31.88;;;;
78;5;de;1136455951;10;weiblich;weniger als 2 Minuten;Nein;5;5;5;1;3;Nein;Ja;5;4;5;5;5;3;4;3;4;;;Ich bin mir unsicher;321.19;87.55;;;;;;50.28;;91.26;;;;;34.55;;57.55;;;;
79;5;de;1433228318;49;weiblich;weniger als 2 Minuten;Ja, mehrfach;4;2;3;2;2;Ja;Ja;3;3;3;4;4;2;4;3;3;;;Nein;142.91;28.32;;;;;;30.24;;41.25;;;;;15.77;;27.33;;;;
80;5;de;1475712848;49;weiblich;5-10 Minuten;Ja, mehrfach;4;5;5;4;5;Nein;Ja;5;5;5;5;4;5;5;5;1;Interaktion;Das man irgendwas ausmalen konntw;Ja;198.77;36.96;;;;;;30.18;;55.46;;;;;20.66;;55.51;;;;
81;5;de;254105314;19;männlich;weniger als 2 Minuten;Nein;3;3;2;2;4;Ja;Ja;4;3;3;4;4;2;2;2;4;;;Ja;105.62;21.91;;;;;;24. Mär;;30.71;;;;;Okt 31;;18.39;;;;
82;5;de;352402093;57;weiblich;weniger als 2 Minuten;Nein;4;4;3;3;4;Ich bin mir unsicher;Ja;5;3;5;5;2;3;5;3;4;Einfachheit, Farbigkeit, das Spielerische;?..;Ja;282.83;62.17;;;;;;41.73;;62.18;;;;;28.29;;88.46;;;;
83;5;de;408848626;41;weiblich;2-5 Minuten;Nein;4;4;4;3;4;Ja;Ja;4;4;4;3;3;4;3;4;4;Die Idee dahinter und die schwarz-weißen Blumen;-;Ja;158.5;27.69;;;;;;21.43;;34.52;;;;;Nov 83;;63.03;;;;
84;5;de;1019038222;53;männlich;2-5 Minuten;Nein;3;3;3;3;3;Nein;Ja;3;2;2;2;2;4;3;4;3;;;Ich bin mir unsicher;184.55;33.34;;;;;;38.18;;52.04;;;;;18.37;;42.62;;;;
