"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Wie alt sind Sie? (Angabe in Jahren)","Welchem Geschlecht fühlen Sie sich zugehörig?","Wie lange haben Sie sich in der Installation aufgehalten?","Haben Sie bereits Erfahrung mit interaktiven Kunstinstallationen?","Umgang mit Technologie  [     Wie sicher fühlen Sie sich im Umgang mit modernen digitalen Technologien? ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion tatsächlich anwesend war. ]","Räumliche Präsenz Skala  [Es schien, als ob ich tatsächlich an der Darstellung beteiligt war. ]","Räumliche Präsenz Skala  [Es kam mir vor, als hätte sich mein wahrer Standort in die Umgebung der Projektion verschoben. ]","Räumliche Präsenz Skala  [Ich hatte das Gefühl, dass ich in der Umgebung der Projektion physisch anwesend war.]","Haben Sie bemerkt, dass die Blumenprojektionen auf der rechten Seite auf die von Ihnen erzeugten Geräusche reagieren?","Haben Sie bemerkt, dass ihre Bewegung die Grashalmprojektion beeinflusst?","Interaktivität und Eingebundenheit     [Ich fühlte mich durch die Interaktivität des Systems stärker in das Erlebnis eingebunden.]","Interaktions Skala     [ Die Objekte in der Projektion gaben mir das Gefühl, dass ich mit ihnen etwas anfangen kann. ]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion agieren konnte. ]","Interaktions Skala     [Ich hatte das Gefühl, dass ich mich zwischen den Objekten in der Projektion bewegen konnte.]","Interaktions Skala     [Ich hatte den Eindruck, dass ich in der Umgebung der Projektion alles tun konnte, was ich wollte.]","Systemeffizienz  [Das System reagierte schnell und ohne spürbare Verzögerung auf meine Eingaben.]","Systemeffizienz  [Die Steuerung des Systems war intuitiv und leicht verständlich.]","Systemeffizienz  [Ich konnte meine beabsichtigten Aktionen problemlos ausführen.]","Gesamteindruck     [Wie zufrieden waren Sie insgesamt mit der Rauminstallation?]","Was hat Ihnen an der Installation am meisten gefallen?","Was hätte verbessert werden können?","Würden Sie diese Installation weiterempfehlen?","Gesamtzeit","Gruppenzeit: Biografische Fragen","Fragenzeit: G02Q02","Fragenzeit: G02Q03","Fragenzeit: G02Q04","Fragenzeit: G02Q05","Fragenzeit: G02Q06","Gruppenzeit: Subjektive Wahrnehmung von Räumlicher Präsenz in der Kunstinstallation","Fragenzeit: G03Q07","Gruppenzeit: Subjektive Wahrnehmung von Interaktionsmöglichkeiten in der Kunstinstallation","Fragenzeit: G04Q08","Fragenzeit: G04Q09","Fragenzeit: G04Q10","Fragenzeit: G04Q011","Gruppenzeit: Interaktion wurde wahrgenommen","Fragenzeit: G05Q12","Gruppenzeit: Zufriedenheit","Fragenzeit: G06Q13","Fragenzeit: G06Q14","Fragenzeit: G06Q15","Fragenzeit: G06Q16"
"21","2025-03-05 12:23:06","5","de","388344168","2025-03-05 12:13:10","2025-03-05 12:23:06","13","weiblich","5-10 Minuten","Ja, einmal","2","3","3","4","4","Ja","Nein","3","5","5","2","4","5","4","5","5","dass man eben selbst an dieser Kunst auf unkomplizierte weise teilhaben konnte ","vlt hätte man noch eine Erklärung zur Installation  schreiben können ","Ja","599.55","123.94",,,,,,"80.13",,"138.95",,,,,"37.67",,"218.86",,,,
"22","2025-03-05 12:21:28","5","de","678280159","2025-03-05 12:16:24","2025-03-05 12:21:28","66","männlich","2-5 Minuten","Ja, mehrfach","5","5","5","4","5","Ja","Ja","4","5","5","5","5","4","4","4","5"," "," ","Ja","209.67","62.46",,,,,,"42.98",,"68.73",,,,,"23.07",,"12.43",,,,
"23","2025-03-05 12:19:05","5","de","1763414019","2025-03-05 12:16:33","2025-03-05 12:19:05","62","weiblich","2-5 Minuten","Nein","1","1","1","1","1","Ich bin mir unsicher","Ich bin mir unsicher","1","1","1","1","1","","","","2","","","Ich bin mir unsicher","154.9","47.76",,,,,,"26.49",,"50.38",,,,,,,"30.27",,,,
"24","2025-03-05 12:19:54","5","de","2035003977","2025-03-05 12:17:06","2025-03-05 12:19:54","36","männlich","2-5 Minuten","Ja, mehrfach","4","1","3","2","2","Ja","Ja","2","2","3","2","1","2","1","2","2","","","Ich bin mir unsicher","171.69","33.82",,,,,,"41.79",,"43.51",,,,,"16.05",,"36.52",,,,
"25","2025-03-05 12:26:06","5","de","1791867928","2025-03-05 12:19:50","2025-03-05 12:26:06","30","weiblich","2-5 Minuten","Nein","4","4","3","2","5","Ja","Nein","5","4","4","3","3","4","4","4","4","Ausprobieren und Entdecken zusammen muntern anderen Besucher*innen","Zum Handeln ermutigen","Ja","377.45","45.57",,,,,,"32.88",,"76.41",,,,,"24.01",,"198.58",,,,
"26","2025-03-05 12:24:25","5","de","448691941","2025-03-05 12:21:43","2025-03-05 12:24:25","60","weiblich","5-10 Minuten","Ja, mehrfach","4","4","5","1","4","Ja","Ja","5","5","4","4","4","4","4","4","5"," "," ","Ja","163.65","23.33",,,,,,"51.14",,"27.77",,,,,"40.26",,"21.15",,,,
"27","2025-03-05 12:24:44","5","de","383524947","2025-03-05 12:21:58","2025-03-05 12:24:44","56","weiblich","2-5 Minuten","Ja, einmal","3","4","3","2","4","Ich bin mir unsicher","Nein","4","4","3","4","4","","","","3","","Erklärung im Raum","Ja","168.91","24.92",,,,,,"40.03",,"43.69",,,,,,,"60.27",,,,
"28","2025-03-05 12:32:36","5","de","956319834","2025-03-05 12:25:52","2025-03-05 12:32:36","63","weiblich","5-10 Minuten","Ja, mehrfach","3","4","4","3","3","Ja","Nein","4","4","4","4","3","3","4","4","4","eine neue Vision von Natur.","Ich hätte das schon früher als Kontrast zu der Ausstellung eingesetzt. So War es erst das Alte, dann das Neue. Insgesamt hätte man die Ausstellung viel spannender gestalten können.","Ja","407.46","57.22",,,,,,"43.51",,"56.02",,,,,"21.86",,"228.85",,,,
"29","2025-03-05 12:33:53","5","de","1055463724","2025-03-05 12:25:53","2025-03-05 12:33:53","63","weiblich","2-5 Minuten","Ja, mehrfach","3","4","4","1","4","Ja","Ja","5","5","4","5","3","4","3","5","4","Dadurch war die Kunst der RR gegenwärtiger und lebendiger. Die Zeitschranke zur Vergamgenheit wurde durchlässiger","Die Installation könnte mehr in die Ausstellungintegriert sein","Ja","480.16","81.79",,,,,,"58.22",,"58.04",,,,,"25.02",,"257.09",,,,
"30","2025-03-05 12:30:05","5","de","588369187","2025-03-05 12:27:14","2025-03-05 12:30:05","68","weiblich","weniger als 2 Minuten","Ja, einmal","4","1","1","1","1","Nein","Nein","1","1","1","1","5","","","","2","","","Ich bin mir unsicher","173.67","45.87",,,,,,"37.61",,"53.59",,,,,,,"36.6",,,,
"31","2025-03-05 12:32:43","5","de","748848941","2025-03-05 12:30:16","2025-03-05 12:32:43","15","weiblich","2-5 Minuten","Ja, mehrfach","4","5","5","5","5","Ja","Ja","4","4","4","4","4","4","4","4","5","Das Interaktive ","","Ja","150.13","27.58",,,,,,"19.68",,"53.84",,,,,"14.23",,"34.8",,,,
"32","2025-03-05 12:42:17","5","de","865705314","2025-03-05 12:33:54","2025-03-05 12:42:17","73","männlich","2-5 Minuten","Ja, einmal","3","2","3","4","3","Nein","Nein","1","1","2","2","1","","","","2","Wachsende Blumen","Erläuterung nicht vorhanden oder nicht bemerkt","Ja","504.92","84.65",,,,,,"124.56",,"127.9",,,,,,,"167.81",,,,
"33","2025-03-05 12:39:49","5","de","1952544970","2025-03-05 12:35:45","2025-03-05 12:39:48","69","weiblich","2-5 Minuten","Ja, einmal","2","5","3","5","5","Nein","Ja","5","5","4","5","3","5","5","5","5","Grasbwewgung und Wachstum in Detail "," ","Ja","244.87","35.02",,,,,,"38.28",,"86.07",,,,,"21.5",,"64",,,,
"34","2025-03-05 12:39:20","5","de","1449888516","2025-03-05 12:36:32","2025-03-05 12:39:20","67","weiblich","2-5 Minuten","Nein","3","3","3","3","3","Nein","Nein","2","3","3","2","1","","","","3","","","Ich bin mir unsicher","169.74","39.48",,,,,,"30.68",,"66.43",,,,,,,"33.15",,,,
"35","2025-03-05 12:48:21","5","de","759809425","2025-03-05 12:43:46","2025-03-05 12:48:21","78","weiblich","2-5 Minuten","Ja, mehrfach","3","2","2","1","2","Ja","Nein","3","3","4","4","2","4","3","3","3","Geräusche im Hintergrund","Die Graswiese War mir zu eintönig","Ich bin mir unsicher","275.68","64.04",,,,,,"44.57",,"66.01",,,,,"23.91",,"77.15",,,,
"36","2025-03-05 12:51:49","5","de","433931004","2025-03-05 12:47:46","2025-03-05 12:51:49","62","männlich","2-5 Minuten","Nein","3","2","1","1","1","Nein","Ja","1","3","2","2","1","1","2","2","3","Farbe","","Ja","245.65","43.95",,,,,,"53.17",,"63.75",,,,,"48.5",,"36.28",,,,
"37","2025-03-05 12:52:34","5","de","510283715","2025-03-05 12:47:55","2025-03-05 12:52:34","69","weiblich","2-5 Minuten","Ja, mehrfach","3","3","3","2","3","Nein","Ja","4","4","3","4","4","3","3","3","4","die bewegung","","Ja","281.84","71.81",,,,,,"44.61",,"74.52",,,,,"24.3",,"66.6",,,,
"38","2025-03-05 12:57:30","5","de","212787760","2025-03-05 12:51:32","2025-03-05 12:57:30","72","weiblich","2-5 Minuten","Ja, einmal","2","4","2","3","3","Nein","Nein","3","3","2","3","4","","","","3","","Ein größerer Hinweis auf die Interaktion","Ja","300.09","81.31",,,,,,"44.66",,"60.48",,,,,,,"113.64",,,,
"39","2025-03-05 13:03:33","5","de","1028753975","2025-03-05 12:56:38","2025-03-05 13:03:33","84","weiblich","5-10 Minuten","Ja, mehrfach","1","5","5","3","5","Ja","Ja","3","4","5","4","5","5","5","5","4","Das man auf die Bewegung Einfluss haben kann"," ","Ja","417.6","80",,,,,,"85.99",,"76",,,,,"30.98",,"144.63",,,,
"40","2025-03-05 13:05:11","5","de","1643699922","2025-03-05 12:59:37","2025-03-05 13:05:11","70","weiblich","weniger als 2 Minuten","Ja, mehrfach","1","2","4","2","2","Ja","Ja","4","4","5","3","5","4","4","3","4","Das entstehende Bikd","Ggf. eine kurze Einweisung vorab ...","Ja","336.91","46.51",,,,,,"86.42",,"82.81",,,,,"21.33",,"99.84",,,,
"41","2025-03-05 13:11:35","5","de","740959471","2025-03-05 13:03:38","2025-03-05 13:11:35","77","männlich","2-5 Minuten","Nein","4","1","2","2","4","Ja","Nein","2","2","2","1","4","2","2","1","4","Die Entwicklung des ""Gemäldes"".","Detailliertere Beschreibung der Interaktionsmöglichkeiten vorab.","Ja","477.36","38.72",,,,,,"102.96",,"117.19",,,,,"19.34",,"199.15",,,,
"42","2025-03-05 13:10:24","5","de","236259429","2025-03-05 13:03:39","2025-03-05 13:10:24","71","weiblich","2-5 Minuten","Nein","3","3","2","3","5","Ich bin mir unsicher","Nein","2","3","2","2","5","","","","3","die Umgewissheit, ob ich persönlich wirklich einen Einfluss auf die Bildformung hatte.","eine etwas verbesserte Anleitung, wie ich das Geschehen beeinflussen kann.","Ja","407.18","43.8",,,,,,"74.71",,"66.39",,,,,,,"222.28",,,,
"43","2025-03-05 13:10:45","5","de","374048075","2025-03-05 13:05:27","2025-03-05 13:10:45","80","weiblich","5-10 Minuten","Nein","2","5","1","1","5","Nein","Nein","2","5","2","2","4","","","","5","Wachstum"," ","Ja","319.92","86.62",,,,,,"114.35",,"54.22",,,,,,,"64.73",,,,
"44","2025-03-05 13:15:27","5","de","1084995000","2025-03-05 13:11:44","2025-03-05 13:15:27","16","weiblich","2-5 Minuten","Ja, einmal","3","4","2","2","2","Nein","Nein","4","3","3","3","4","","","","3","Das die auf Bewegungen reagiert hat","Geräusche ","Ich bin mir unsicher","225.38","80.15",,,,,,"37.98",,"65.51",,,,,,,"41.74",,,,
"45","2025-03-05 13:16:50","5","de","1977080165","2025-03-05 13:12:42","2025-03-05 13:16:50","29","weiblich","weniger als 2 Minuten","Nein","3","3","3","2","3","Ja","Nein","4","3","3","4","2","2","2","3","3","Sehr schöne Darstellung","offensichtlicher Erklärung selbst tätig zu werden","Ja","250.71","62.08",,,,,,"31.35",,"43.27",,,,,"15.71",,"98.3",,,,
"46","2025-03-05 13:20:52","5","de","231171458","2025-03-05 13:17:27","2025-03-05 13:20:52","15","männlich","weniger als 2 Minuten","Nein","5","3","3","3","3","Ich bin mir unsicher","Nein","3","3","3","3","3","","","","3","Die Qualität ","Nichts","Ich bin mir unsicher","205.7","43.98",,,,,,"35.36",,"76.92",,,,,,,"49.44",,,,
"47","2025-03-05 13:25:07","5","de","1359525501","2025-03-05 13:18:11","2025-03-05 13:25:07","55","weiblich","2-5 Minuten","Nein","2","3","3","3","3","Nein","Ja","5","2","3","2","2","4","3","2","3","Die bewegten Grashalme","Verbindung zwischen Grashalm u Blumenbereich , räumlichere Effekte ","Ich bin mir unsicher","418.11","48.86",,,,,,"60.2",,"56.89",,,,,"67.97",,"184.19",,,,
"48","2025-03-05 13:28:41","5","de","107319044","2025-03-05 13:20:48","2025-03-05 13:28:41","71","weiblich","2-5 Minuten","Ja, einmal","2","3","3","3","3","Nein","Nein","2","2","1","1","1","","","","4","Die Entwicklung des Bildesbzw der Blumen von innen heraus","Sitzgelegenheit ","Ja","474.45","111.32",,,,,,"85.34",,"81.74",,,,,,,"196.05",,,,
"49","2025-03-05 13:26:47","5","de","1534324826","2025-03-05 13:20:53","2025-03-05 13:26:47","75","weiblich","5-10 Minuten","Ja, mehrfach","2","4","4","3","4","Ja","Ich bin mir unsicher","4","4","2","1","1","4","3","4","4"," "," ","Ja","355.95","79.77",,,,,,"125.42",,"66.99",,,,,"54.54",,"29.23",,,,
"50","2025-03-05 13:32:58","5","de","60015617","2025-03-05 13:29:02","2025-03-05 13:32:58","48","weiblich","2-5 Minuten","Ja, mehrfach","5","4","4","4","5","Ich bin mir unsicher","Nein","3","4","5","3","4","","","","4","Das Wachsen des Gemäldea","","Ja","238.16","45.96",,,,,,"43.46",,"78.63",,,,,,,"70.11",,,,
"51","2025-03-05 13:34:32","5","de","528666237","2025-03-05 13:30:03","2025-03-05 13:34:32","63","weiblich","2-5 Minuten","Ja, mehrfach","3","5","4","1","3","Ja","Ich bin mir unsicher","5","5","5","4","5","5","5","5","1","Die Wirkung, die Geräusche von mir und anderen Besuchern auf die Bildgebungnhatten; die Interaktion mit den anderen Besuchern","———","Ja","270.49","33.13",,,,,,"37.16",,"48.42",,,,,"14.1",,"137.68",,,,
"52","2025-03-05 15:15:19","5","de","1231976087","2025-03-05 15:08:05","2025-03-05 15:15:19","60","weiblich","5-10 Minuten","Nein","1","5","4","2","1","Ich bin mir unsicher","Nein","4","4","4","1","2","","","","5","Vielfalt der Darstellung ","Mir hätt gefallen, wenn man einzelne Bilder hätte stoppen, also anhalten können.","Ja","436.05","75.9",,,,,,"49.4",,"64.01",,,,,,,"246.74",,,,
"53","2025-03-05 15:19:59","5","de","1572831852","2025-03-05 15:13:46","2025-03-05 15:19:59","72","weiblich","5-10 Minuten","Nein","2","1","2","1","1","Ja","Nein","5","5","4","4","5","5","5","5","5","interaktivität","nichts ","Ja","268.21","63.71",,,,,,"126.29",,"41.93",,,,,"7.26",,"29.02",,,,
"54","2025-03-05 15:19:34","5","de","1873941660","2025-03-05 15:14:52","2025-03-05 15:19:34","63","weiblich","5-10 Minuten","Ja, mehrfach","2","4","1","1","4","Nein","Nein","2","4","1","1","1","","","","4","","","Ja","282.86","64.75",,,,,,"66.15",,"119.23",,,,,,,"32.73",,,,
"55","2025-03-05 15:22:24","5","de","1750966257","2025-03-05 15:15:50","2025-03-05 15:22:24","59","weiblich","2-5 Minuten","Ja, einmal","2","1","1","1","1","Nein","Nein","1","1","1","1","1","","","","4","Die Wachstum Bilder","Sitzgejegenheit","Ich bin mir unsicher","396.2","90.4",,,,,,"106.4",,"86.74",,,,,,,"112.66",,,,
"56","2025-03-05 15:31:22","5","de","1390115815","2025-03-05 15:26:36","2025-03-05 15:31:22","64","männlich","2-5 Minuten","Nein","4","3","3","2","2","Ja","Nein","3","4","3","2","1","4","4","4","4","","","Ja","288.46","37.77",,,,,,"64.38",,"120.71",,,,,"27.14",,"38.46",,,,
"57","2025-03-05 15:30:24","5","de","875156218","2025-03-05 15:26:40","2025-03-05 15:30:24",,"weiblich","2-5 Minuten","Nein","3","3","4","3","3","Ja","Ja","3","4","3","4","4","3","3","4","3","","","Ja","226.45","53.15",,,,,,"43.12",,"69.06",,,,,"37.31",,"23.81",,,,
"58","2025-03-05 15:30:51","5","de","12563000","2025-03-05 15:26:49","2025-03-05 15:30:51","61","männlich","2-5 Minuten","Nein","3","2","2","3","2","Ja","Nein","3","3","3","2","3","2","3","3","3","","","Ich bin mir unsicher","244.19","61.39",,,,,,"47.53",,"59.13",,,,,"26.59",,"49.55",,,,
"59","2025-03-05 15:33:27","5","de","1797242166","2025-03-05 15:26:54","2025-03-05 15:33:27","65","weiblich","5-10 Minuten","Ja, mehrfach","4","2","2","3","2","Ja","Ja","3","2","3","3","3","3","2","2","4","Witz","Intuitivität","Ja","394.91","51.45",,,,,,"203.88",,"93.99",,,,,"16.45",,"29.14",,,,
"60","2025-03-05 15:41:11","5","de","1249349315","2025-03-05 15:35:15","2025-03-05 15:41:11","67","weiblich","2-5 Minuten","Ja, einmal","2","4","4","3","3","Nein","Nein","4","3","2","2","2","","","","4","Die begleitenden Geräusche ","Vieleicht nicht ganz so dunkel im Raum","Ja","356.57","72.21",,,,,,"47.51",,"87.26",,,,,,,"149.59",,,,
"61","2025-03-05 15:42:05","5","de","1154353426","2025-03-05 15:38:04","2025-03-05 15:42:05","55","weiblich","2-5 Minuten","Ja, mehrfach","4","4","3","2","3","Nein","Ja","4","3","3","4","4","4","5","5","4","Das wachsende Blumenbild","Die Optik der Grashalme, weniger abstrakt","Ja","243.19","39.47",,,,,,"46.59",,"60.63",,,,,"20.27",,"76.23",,,,
